License
"AFLv2.1,BSD"
Apache-2.0
CC0-1.0
CC-BY-3.0
CC-BY-3.0
CC-BY-4.0
BSD-2-Clause
ISC
MIT AND Apache-2.0
MIT AND BSD-3-Clause
MIT AND CC-BY-3.0
MIT
Unlicense
WTFPL
BSD*
(MIT AND Apache-2.0)
(MIT AND BSD-3-Clause)
(MIT AND CC-BY-3.0)
